DFS Search Length,DFS Path Length,BFS Search Length,BFS Path Length,Dijkstra Search Length,Dijkstra Path Length,A* Search Length,A* Path Length
1244,664,906,72,888,72,447,72
330,258,2475,148,2470,148,1968,148
863,392,340,56,316,56,175,56
1761,729,2058,119,2051,119,1633,119
108,91,804,71,781,71,432,71
686,472,2433,158,2423,158,2196,158
253,181,1289,125,1262,125,939,125
392,359,1688,131,1681,131,1274,131
2460,48,141,34,133,34,72,34
512,417,1796,111,1780,111,1133,111
151,78,123,24,113,24,32,24
2329,313,2367,133,2345,133,1359,133
2295,295,2495,191,2489,191,2031,191
1648,723,2063,105,2044,105,1244,105
203,160,1003,64,975,64,454,64
1464,586,1847,164,1828,164,1301,164
893,416,134,32,126,32,51,32
1996,597,2078,117,2041,117,1310,117
2164,605,2499,213,2499,213,2555,213
653,281,2412,113,2401,113,1613,113
1173,654,1654,146,1609,146,759,146
817,377,1801,107,1779,107,1084,107
1659,844,2357,220,2337,220,1968,220
1336,620,1876,100,1852,100,645,100
822,326,2421,230,2415,230,2330,230
784,471,1394,79,1359,79,572,79
2184,429,1732,125,1721,125,1285,125
1294,689,1173,99,1157,99,381,99
2476,87,578,71,544,71,223,71
2459,93,693,89,690,89,457,89
1276,422,2024,122,1984,122,1428,122
132,87,852,49,812,49,382,49
2269,426,1783,132,1754,132,1082,132
1478,479,1931,127,1921,127,1415,127
2319,174,2442,124,2431,124,1819,124
104,58,438,58,427,58,300,58
1326,676,1271,96,1260,96,851,96
751,505,1138,85,1120,85,617,85
1115,674,830,104,813,104,529,104
2062,744,2454,190,2450,190,2208,190
828,447,806,73,793,73,434,73
753,467,1975,193,1962,193,1838,193
736,503,1264,87,1253,87,633,87
1667,804,230,36,213,36,141,36
1766,404,2080,122,2061,122,1378,122
970,598,2375,130,2363,130,2011,130
598,365,1128,77,1107,77,684,77
1432,567,1550,109,1516,109,1013,109
2424,185,867,85,820,85,411,85
1095,550,1999,108,1976,108,1079,108
106,74,413,36,398,36,181,36
1273,678,1821,236,1805,236,980,236
2375,302,2491,182,2484,182,2280,182
448,188,1819,96,1796,96,1062,96
2397,239,1066,103,1048,103,796,103
1410,655,718,43,688,43,307,43
644,308,2392,142,2383,142,2018,142
585,394,1700,118,1677,118,1208,118
1113,607,1944,135,1931,135,1566,135
1467,628,17,4,14,4,6,4
2314,209,2014,129,1995,129,1373,129
1092,565,748,79,722,79,275,79
2278,293,1526,131,1517,131,1316,131
1390,651,2080,115,2065,115,1322,115
1285,832,1803,84,1758,84,1010,84
1386,595,1777,141,1766,141,1590,141
1517,551,1462,77,1444,77,690,77
703,311,1889,103,1876,103,1265,103
878,524,2488,180,2487,180,2474,180
623,352,1570,112,1541,112,1102,112
1812,729,2499,145,2498,145,1933,145
1167,497,381,55,370,55,208,55
1955,374,2412,178,2403,178,1975,178
1683,354,2026,154,2019,154,1675,154
2205,528,895,80,878,80,320,80
422,231,1035,71,999,71,498,71
1871,291,2165,173,2155,173,1716,173
863,467,2005,105,1990,105,1342,105
2339,457,1844,129,1836,129,1381,129
1513,573,1744,85,1713,85,993,85
1350,549,454,37,443,37,243,37
708,358,1689,150,1682,150,1299,150
2195,451,2488,165,2486,165,1844,165
1038,257,2456,171,2453,171,2036,171
1119,307,2499,209,2499,209,2559,209
1807,803,1696,109,1675,109,1059,109
2428,233,2489,147,2487,147,2185,147
1626,841,855,93,829,93,545,93
1950,286,323,24,297,24,64,24
1970,638,2475,174,2473,174,2464,174
1535,758,2499,240,2499,240,2340,240
1589,637,2230,107,2203,107,1696,107
2357,132,1227,64,1206,64,606,64
709,425,2319,149,2305,149,2069,149
453,252,2084,108,2072,108,1090,108
1541,747,1875,89,1848,89,971,89
2419,151,153,21,143,21,63,21
1541,869,2496,203,2494,203,2543,203
1869,669,576,49,558,49,292,49
2274,444,2499,192,2499,192,2543,192
